CD3G	CD3E	post_translational	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT
CD8A	LCK	post_translational	T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT
LCK	CD8A	post_translational	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT	T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT
CD247	ZAP70	post_translational	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK
ZAP70	CD247	post_translational	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK
CARD11	MALT1	post_translational	B_mem,DC_pDC	T_CD4+_TfH,T_CD4+_TfH_GC,T_TfR,T_CD8+_CD161+,DC_CCR7+,FDC
FYN	ZAP70	post_translational	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK,ILC	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK
LCK	SH2D2A	post_translational	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT	T_CD4+,T_CD4+_TfH,T_Treg,T_TfR,T_TIM3+,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK
SH2D2A	LCK	post_translational	T_CD4+,T_CD4+_TfH,T_Treg,T_TfR,T_TIM3+,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT
LCP2	PLCG1	post_translational	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK,ILC,DC_cDC2,Monocytes,Macrophages_M2	T_CD4+,T_CD4+_TfH_GC,T_TfR,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,NKT
IL2RB	STAT1	post_translational	T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK,ILC	B_IFN,T_CD4+,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,NKT,NK,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2
LAT	PLCG1	post_translational	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT	T_CD4+,T_CD4+_TfH_GC,T_TfR,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,NKT
PLCG1	LAT	post_translational	T_CD4+,T_CD4+_TfH_GC,T_TfR,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,NKT	T_CD4+,T_CD4+_TfH,T_CD4+_TfH_GC,T_Treg,T_TfR,T_TIM3+,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT
