THBS1	LRP1	post_translational	Monocytes,Macrophages_M2,Endo,VSMC	Monocytes,Macrophages_M1,Macrophages_M2,VSMC
C1QB	LRP1	post_translational	DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2	Monocytes,Macrophages_M1,Macrophages_M2,VSMC
COL4A2	CD93	post_translational	Endo,FDC,VSMC	DC_cDC1,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2,Endo
COL4A1	CD93	post_translational	Endo,VSMC	DC_cDC1,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2,Endo
C1QA	CD93	post_translational	DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2	DC_cDC1,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2,Endo
S100A9	CD68	post_translational	NKT,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2	B_IFN,B_mem,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,FDC
S100A8	CD68	post_translational	Monocytes,Macrophages_M1,FDC	B_IFN,B_mem,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,FDC
SERPING1	SELP	post_translational	DC_pDC,Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC,VSMC	T_Treg,Endo
KDR	COL18A1	post_translational	Endo	T_CD4+_TfH,T_CD4+_naive,Mast,Endo,VSMC
COL18A1	KDR	post_translational	T_CD4+_TfH,T_CD4+_naive,Mast,Endo,VSMC	Endo
CCL20	ADRA2A	post_translational	T_TfR,T_CD8+_CD161+,NKT,ILC	Mast,FDC
COL6A2	ITGA1	post_translational	T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,Macrophages_M1,Endo,FDC,VSMC	T_CD4+_TfH,T_CD8+_cytotoxic,T_CD8+_CD161+
SPP1	ITGA5	post_translational	Endo	T_CD4+,T_TIM3+,T_CD4+_naive,T_CD8+_naive,NKT,ILC,Endo
COL18A1	ITGA5	post_translational	T_CD4+_TfH,T_CD4+_naive,Mast,Endo,VSMC	T_CD4+,T_TIM3+,T_CD4+_naive,T_CD8+_naive,NKT,ILC,Endo
LAMB2	ITGB1	post_translational	Endo,FDC,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
VEGFA	ITGB1	post_translational	B_plasma,ILC,DC_CCR7+,Monocytes,FDC,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
COL6A1	SDC4	post_translational	Macrophages_M1,Endo,FDC,VSMC	T_Treg,NKT,ILC,DC_CCR7+,Macrophages_M1,FDC
COL6A2	SDC4	post_translational	T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,Macrophages_M1,Endo,FDC,VSMC	T_Treg,NKT,ILC,DC_CCR7+,Macrophages_M1,FDC
THBS2	SDC4	post_translational	VSMC	T_Treg,NKT,ILC,DC_CCR7+,Macrophages_M1,FDC
MMRN2	CD93	post_translational	Endo	DC_cDC1,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2,Endo
SERPING1	LRP1	post_translational	DC_pDC,Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC,VSMC	Monocytes,Macrophages_M1,Macrophages_M2,VSMC
SPP1	S1PR1	post_translational	Endo	B_naive,B_activated,T_CD4+,T_CD4+_naive,T_CD8+_naive,Endo
VWF	COL4A1	post_translational	Endo	Endo,VSMC
NRP1	PDGFRB	post_translational	ILC,DC_pDC,Macrophages_M2,Endo,VSMC	FDC,VSMC
CD14	PLXND1	post_translational	Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC	T_CD4+_TfH_GC,T_TfR,NKT,DC_cDC2,DC_CCR7+,Macrophages_M1,Endo
VEGFA	VCAN	post_translational	B_plasma,ILC,DC_CCR7+,Monocytes,FDC,VSMC	Monocytes,VSMC
CD59	SIGLEC1	post_translational	B_plasma,T_CD4+_TfH_GC,T_Treg,T_TfR,ILC,DC_cDC1,Macrophages_M1,Macrophages_M2,Mast,Endo,FDC,VSMC	Macrophages_M2
CD59	STAB1	post_translational	B_plasma,T_CD4+_TfH_GC,T_Treg,T_TfR,ILC,DC_cDC1,Macrophages_M1,Macrophages_M2,Mast,Endo,FDC,VSMC	Monocytes,Macrophages_M1,Macrophages_M2,Mast,Endo
VWF	COL4A2	post_translational	Endo	Endo,FDC,VSMC
FBLN1	VCAN	post_translational	VSMC	Monocytes,VSMC
DCN	LRP1	post_translational	VSMC	Monocytes,Macrophages_M1,Macrophages_M2,VSMC
ENG	CDH5	post_translational	ILC,Macrophages_M1,Endo,VSMC	Endo
VCAN	COL1A1	post_translational	Monocytes,VSMC	FDC,VSMC
TGFBR2	CDH5	post_translational	B_activated,T_CD4+_naive,T_CD8+_naive,Endo,VSMC	Endo
KDR	ENG	post_translational	Endo	ILC,Macrophages_M1,Endo,VSMC
VCAN	COL1A2	post_translational	Monocytes,VSMC	DC_CCR7+,FDC,VSMC
SPARC	ENG	post_translational	Macrophages_M1,Endo,FDC,VSMC	ILC,Macrophages_M1,Endo,VSMC
VWF	ITGB1	post_translational	Endo	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
LAMB1	CD151	post_translational	Endo,VSMC	T_CD4+_TfH_GC,T_TfR,NK,ILC,Mast,Endo,FDC,VSMC
THY1	ADGRE2	post_translational	Endo,VSMC	DC_pDC,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2,Mast
ADAMTS1	VCAN	post_translational	Endo,VSMC	Monocytes,VSMC
SGK1	AHNAK	post_translational	B_GC_LZ,B_GC_DZ,T_CD4+_naive,T_CD8+_naive,DC_cDC2,Monocytes,Macrophages_M1,Mast	T_CD4+,T_TfR,T_TIM3+,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,ILC,Monocytes,Mast,Endo,VSMC
MYC	CEBPB	post_translational	B_IFN,B_naive,B_activated,B_preGC,B_mem,T_CD4+_TfH	T_CD4+_TfH,T_CD4+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NK,ILC,Monocytes,Macrophages_M2,VSMC
CEBPB	MYC	post_translational	T_CD4+_TfH,T_CD4+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NK,ILC,Monocytes,Macrophages_M2,VSMC	B_IFN,B_naive,B_activated,B_preGC,B_mem,T_CD4+_TfH
TIMP2	MMP2	post_translational	DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2,Endo,VSMC	FDC,VSMC
GSN	FN1	post_translational	B_IFN,B_GC_LZ,B_GC_DZ,NK,ILC,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Mast,Endo,FDC,VSMC	FDC,VSMC
CDKN1A	CCND1	post_translational	B_activated,B_preGC,B_mem,ILC,DC_pDC,DC_cDC2,DC_CCR7+,Monocytes,Endo,VSMC	B_naive,B_preGC,DC_cDC1,DC_cDC2,DC_CCR7+,Macrophages_M1,Macrophages_M2,Mast,FDC,VSMC
FGR	PLAUR	post_translational	B_naive,B_activated,T_CD8+_cytotoxic,NK,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1	T_CD4+,ILC,DC_pDC,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Mast
