,Unnamed: 0,gene_clusters,localization_score,clustering_rank
1090,Psme2,5,3.3918356494495754,35.544
1091,Irf9,5,3.734867063726437,10.7496195
1092,Gzmb,3,5.1173534781579,63.780487
1093,Parp4,0,2.8297120286601145,7.77317
1094,Zmym5,0,2.5897613156315744,8.240185
1095,Zmym2,0,2.6953176990343666,5.0428543
1096,Lats2,3,3.622108896086978,9.623259
1097,Zdhhc20,3,2.83966488282953,15.019145
1098,Phf11b,5,4.265915365725264,26.542418
1099,Spata13,3,3.321925678645514,12.430486
1100,Bnip3l,3,2.617336602705319,24.374615
1101,Lpar6,1,2.686005884775753,4.3429093
1102,Itm2b,1,1.715322219092576,48.82282
1103,Lcp1,4,2.8230395512359947,51.301712
1104,Dnajc15,4,3.142274759745295,34.3063
1105,Epsti1,4,4.096112666431583,47.91727
1106,Rgcc,1,6.301681846179657,29.593866
1107,Mycbp2,0,3.0432033868337385,10.389985
1108,Mbnl2,0,2.7216306835325947,4.0452366
1109,Rap2a,3,4.444073315522836,18.459461
1110,Stk24,3,3.635392614868123,34.868397
1111,1810041H14Rik,1,3.2753633963477977,10.800412
1112,Gpr18,4,3.4068900633057764,18.754068
1113,Gpr183,1,5.7794093561674,23.079062
1114,Selenop,1,4.019069790783394,14.78226
1115,Card6,0,2.843015769219325,6.6580305
1116,Rictor,0,2.7017902515521235,7.338463
1117,Nipbl,0,2.6383223377693463,6.6507583
1118,Il7r,0,8.897830329425938,60.27547
1119,Sub1,4,3.543302811126308,69.846886
1120,Retreg1,1,2.985813012388753,5.2491364
1121,Dap,2,4.588385985599938,41.789074
1122,Cox6c,1,1.989357181343564,35.886143
1123,Ywhaz,3,1.98239027720143,44.28272
1124,Rad21,2,4.117171899261352,48.343853
1125,Sntb1,1,3.1957446861944527,6.203711
1126,Gm2682,0,3.231393512950869,13.870801
1127,Myc,1,4.218280099446988,15.953996
1128,Asap1,0,3.1674665878289745,11.53068
1129,Tmem71,3,3.638582728562409,24.61354
1130,Sla,4,3.525170692154298,23.930368
1131,Ly6e,4,5.323169531571147,44.115005
1132,Ly6a,5,6.2987803222479615,54.448677
1133,Ly6c1,1,3.197760163785418,1.7268869
1134,Ly6c2,4,4.181209060714364,37.422165
1135,Plec,3,4.10794943831071,16.709297
1136,Myh9,0,3.231598519643738,9.443634
1137,Il2rb,4,5.599834357879111,33.3835
1138,Gm36738,1,2.5563624400094835,5.982528
1139,Cyth4,3,3.11729246884387,25.963564
1140,Sh3bp1,0,2.6622889928434907,12.600605
