,0
Ttc3,0
Brwd1,0
Hmgn1,2
Arid1b,0
Sytl3,0
Tagap,0
Fam120b,0
Psmb1,4
Lnpep,3
Vmn2r97,0
Zfp53,1
Zfp945,3
Srrm2,0
Elob,2
Pkd1,0
Baiap3,3
Dusp1,0
Crebrf,0
Phf1,0
Pacsin1,1
Stk38,0
Srsf3,2
Pim1,0
Abcg1,0
Akap8l,0
Rasal3,1
Zfp871,0
Rps28,0
Daxx,5
H2-Ke6,0
H2-Oa,1
Brd2,0
H2-DMa,1
Psmb9,5
Tap1,5
1110038B12Rik,1
Lsm2,2
Clic1,1
Csnk2b,4
Ltb,4
Tnf,0
H2-Q4,5
H2-Q6,5
H2-Q7,5
Ier3,0
Tubb5,2
Ppp1r18,3
H2-T23,5
H2-T22,5
Trim26,0
H2-M3,5
Gm26917,2
Gm42418,0
AY036118,0
Cd2ap,0
Hsp90ab1,2
Gtpbp2,0
Ubr2,0
Ccnd3,3
Tomm6,2
Treml2,5
Apobec2,4
Unc5cl,4
Satb1,1
Gm19585,2
Ubxn6,3
Ankrd12,0
Tgif1,0
Myl12a,4
Smchd1,5
Lbh,0
Ehd3,1
Birc6,0
Crim1,0
Cebpz,0
Cdc42ep3,3
Srsf7,2
Zfp36l2,0
Thada,0
Calm2,3
Zeb1,0
Epc1,0
Snrpd1,2
Map3k2,0
Epb41l4aos,1
Reep5,3
Egr1,0
Pura,1
Ankhd1,0
Taf7,0
Ndfip1,4
Arhgap26,0
Nr3c1,3
Dmxl1,0
Ppic,4
Gramd3,4
Lmnb1,2
Iigp1,5
Cd74,1
Adrb2,3
Malt1,0
Sec11c,2
Mppe1,1
Smad4,0
Smad7,0
Atp5a1,2
Nfatc1,4
Mbp,0
Cd226,3
Kmt5b,0
Gstp3,4
Cdk2ap2,1
Pitpnm1,0
Ptprcap,4
Ppp1ca,4
Clcf1,1
Pold4,4
Kdm2a,0
Banf1,2
Ctsw,4
Cfl1,1
Malat1,0
Neat1,0
Atg2a,0
Rasgrp2,3
Ppp1r14b,2
Fkbp2,2
Macrod1,1
Slc3a2,0
Snhg1,1
Rom1,4
Eef1g,1
Ahnak,3
Cd5,4
Cd6,3
AW112010,4
Ms4a4c,5
Ms4a4b,4
BE692007,4
Gm8369,4
Gm19261,1
Ms4a6b,4
Tle4,0
Vps13a,0
Ostf1,4
Anxa1,4
Smarca2,0
Insl6,3
Cd274,5
Stambpl1,1
Fas,4
Ifit2,5
Ifit3,5
Ifit1bl1,5
Ifit3b,5
Ifit1,5
Kif11,2
Hells,2
Pdlim1,1
Frat2,0
Sfxn3,3
Oga,0
Nolc1,2
Nfkb2,1
Trim8,3
Borcs7,3
As3mt,3
Dusp5,0
Pdcd4,0
Ablim1,0
Plp2,4
Pim2,4
Rbm3,4
Ddx3x,0
Slc25a5,2
Sh2d1a,4
Mecp2,1
Flna,3
Rpl10,1
Taz,0
Gab3,0
Msn,3
Il2rg,1
Ogt,4
Cxcr3,4
Xist,0
Rlim,0
Itm2a,1
Rpl36a,1
Tsc22d3,0
Huwe1,0
Sat1,4
Rbbp7,2
Gm21887,0
Gm47283,2
mt-Nd1,1
mt-Nd2,1
mt-Co1,1
mt-Co2,1
mt-Atp8,1
mt-Atp6,1
mt-Co3,1
mt-Nd3,1
mt-Nd4l,1
mt-Nd4,1
mt-Nd5,1
mt-Cytb,1
CAAA01147332.1,4
AC149090.1,0
